category,structure,shown_1,shown_2,shown_3,shown_4,shown_5,option_a,option_b
mod,core,2,3,4,6,7,1,5
mod,core,1,3,4,6,7,2,5
mod,core,1,2,4,6,7,3,5
mod,per,1,2,3,6,7,4,8
mod,per,1,2,3,4,7,6,10
mod,per,1,2,3,4,6,7,11
mod,core,2,3,4,5,7,1,6
mod,core,1,3,4,5,7,2,6
mod,core,1,2,4,5,7,3,6
mod,per,1,2,3,5,7,4,9
mod,per,1,2,3,4,7,5,8
mod,per,1,2,3,4,5,7,10
mod,core,2,3,4,5,6,1,7
mod,core,1,3,4,5,6,2,7
mod,core,1,2,4,5,6,3,7
mod,per,1,2,3,5,6,4,11
mod,per,1,2,3,4,6,5,10
mod,per,1,2,3,4,5,6,9
mod,core,2,3,5,6,7,1,4
mod,core,1,3,5,6,7,2,4
mod,core,1,2,5,6,7,3,4
mod,per,1,2,3,5,6,7,8
mod,per,1,2,3,6,7,5,9
mod,per,1,2,3,5,7,6,11
mod,core,2,3,8,10,11,1,9
mod,core,1,3,8,10,11,2,9
mod,core,1,2,8,10,11,3,9
mod,per,1,2,3,10,11,8,4
mod,per,1,2,3,8,11,10,6
mod,per,1,2,3,8,10,11,7
mod,core,2,3,8,9,11,1,10
mod,core,1,3,8,9,11,2,10
mod,core,1,2,8,9,11,3,10
mod,per,1,2,3,9,11,8,5
mod,per,1,2,3,8,11,9,6
mod,per,1,2,3,8,9,11,4
mod,core,2,3,8,9,10,1,11
mod,core,1,3,8,9,10,2,11
mod,core,1,2,8,9,10,3,11
mod,per,1,2,3,9,10,8,7
mod,per,1,2,3,8,10,9,4
mod,per,1,2,3,8,9,10,5
mod,core,2,3,9,10,11,1,8
mod,core,1,3,9,10,11,2,8
mod,core,1,2,9,10,11,3,8
mod,per,1,2,3,9,10,11,6
mod,per,1,2,3,10,11,9,5
mod,per,1,2,3,9,11,10,7
lat,core,2,3,4,5,6,1,7
lat,core,1,3,4,5,6,2,7
lat,core,1,2,4,5,6,3,7
lat,per,1,2,3,5,6,4,10
lat,per,1,2,3,4,6,5,9
lat,per,1,2,3,4,5,6,8
lat,core,2,3,5,6,7,1,4
lat,core,1,3,5,6,7,2,4
lat,core,1,2,5,6,7,3,4
lat,per,1,2,3,5,6,7,9
lat,per,1,2,3,6,7,5,11
lat,per,1,2,3,5,7,6,10
lat,core,2,3,6,7,8,1,5
lat,core,1,3,6,7,8,2,5
lat,core,1,2,6,7,8,3,5
lat,per,1,2,3,6,8,7,11
lat,per,1,2,3,6,7,8,10
lat,per,1,2,3,7,8,6,4
lat,core,2,3,7,8,9,1,6
lat,core,1,3,7,8,9,2,6
lat,core,1,2,7,8,9,3,6
lat,per,1,2,3,8,9,7,5
lat,per,1,2,3,7,9,8,4
lat,per,1,2,3,7,8,9,11
lat,core,2,3,8,9,10,1,11
lat,core,1,3,8,9,10,2,11
lat,core,1,2,8,9,10,3,11
lat,per,1,2,3,8,9,10,4
lat,per,1,2,3,9,10,8,6
lat,per,1,2,3,8,10,9,5
lat,core,2,3,9,10,11,1,8
lat,core,1,3,9,10,11,2,8
lat,core,1,2,9,10,11,3,8
lat,per,1,2,3,9,11,10,6
lat,per,1,2,3,9,10,11,5
lat,per,1,2,3,10,11,9,7
lat,core,2,3,4,10,11,1,9
lat,core,1,3,4,10,11,2,9
lat,core,1,2,4,10,11,3,9
lat,per,1,2,3,10,11,4,6
lat,per,1,2,3,4,10,11,7
lat,per,1,2,3,4,11,10,8
lat,core,2,3,4,5,11,1,10
lat,core,1,3,4,5,11,2,10
lat,core,1,2,4,5,11,3,10
lat,per,1,2,3,5,11,4,8
lat,per,1,2,3,4,11,5,7
lat,per,1,2,3,4,5,11,9
